"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"24 juil. 2019, 17:00:00"	"25 juil. 2019, 21:00:00"	"Long"	"7"	"-138,60€"	"-0,70%"	"31,00€"	"-165,90€"	"-9,9"
"23 juil. 2019, 21:00:00"	"24 juil. 2019, 17:00:00"	"Court"	"5"	"-67,60€"	"-0,37%"	"22,10€"	"-101,40€"	"-5,2"
"17 juil. 2019, 21:00:00"	"23 juil. 2019, 21:00:00"	"Long"	"25"	"-48,10€"	"-0,26%"	"270,40€"	"-59,80€"	"-3,7"
"11 juil. 2019, 01:00:00"	"17 juil. 2019, 05:00:00"	"Long"	"26"	"-176,00€"	"-1,13%"	"18,90€"	"-192,30€"	"-16,0"
"7 juil. 2019, 21:00:00"	"11 juil. 2019, 01:00:00"	"Court"	"19"	"-202,00€"	"-1,44%"	"125,50€"	"-186,50€"	"-20,2"
"3 juil. 2019, 01:00:00"	"7 juil. 2019, 21:00:00"	"Long"	"18"	"-237,60€"	"-1,85%"	"0,00€"	"-292,80€"	"-26,4"
"12 juin 2019, 01:00:00"	"3 juil. 2019, 01:00:00"	"Court"	"93"	"-1903,80€"	"-7,55%"	"0,00€"	"-1980,30€"	"-100,2"
"29 mai 2019, 09:00:00"	"12 juin 2019, 01:00:00"	"Long"	"60"	"1326,80€"	"+3,33%"	"1887,90€"	"-226,30€"	"+42,8"
"17 mai 2019, 05:00:00"	"24 mai 2019, 05:00:00"	"Court"	"31"	"33,60€"	"+0,11%"	"281,40€"	"-71,40€"	"+1,4"
"6 mai 2019, 05:00:00"	"17 mai 2019, 05:00:00"	"Long"	"55"	"54,60€"	"+0,20%"	"367,50€"	"-71,40€"	"+2,6"
"2 mai 2019, 01:00:00"	"6 mai 2019, 05:00:00"	"Court"	"14"	"-111,30€"	"-0,41%"	"160,20€"	"-129,60€"	"-5,3"
"26 avr. 2019, 01:00:00"	"2 mai 2019, 01:00:00"	"Long"	"25"	"-18,20€"	"-0,05%"	"213,80€"	"-51,40€"	"-0,7"
"12 avr. 2019, 05:00:00"	"26 avr. 2019, 01:00:00"	"Court"	"55"	"342,70€"	"+1,15%"	"552,00€"	"-32,20€"	"+14,9"
"28 mars 2019, 01:00:00"	"8 avr. 2019, 09:00:00"	"Court"	"46"	"247,80€"	"+0,90%"	"460,20€"	"-22,80€"	"+11,8"
"25 févr. 2019, 13:00:00"	"28 mars 2019, 01:00:00"	"Long"	"139"	"-432,00€"	"-1,62%"	"0,00€"	"-931,80€"	"-21,6"
"22 févr. 2019, 21:00:00"	"25 févr. 2019, 13:00:00"	"Court"	"5"	"-55,80€"	"-0,23%"	"0,00€"	"-87,00€"	"-3,1"
